num_attackers,num_portfolios,vanilla_cfr,split_cfr,vanilla/split,split/vanilla
1,1,12,14,0.857142857,1.166666667
1,2,22,25,0.88,1.136363636
1,3,32,36,0.888888889,1.125
1,4,42,47,0.893617021,1.119047619
2,1,23,15,1.533333333,0.652173913
2,2,43,26,1.653846154,0.604651163
2,3,63,37,1.702702703,0.587301587
2,4,83,48,1.729166667,0.578313253
3,1,34,16,2.125,0.470588235
3,2,64,27,2.37037037,0.421875
3,3,94,38,2.473684211,0.404255319
3,4,124,49,2.530612245,0.39516129
4,1,45,17,2.647058824,0.377777778
4,2,85,28,3.035714286,0.329411765
4,3,125,39,3.205128205,0.312
4,4,165,50,3.3,0.303030303
